word,huffman_code,bits,frequency
shop,10001000011,11,212793848
directory,10001000000,11,212478717
board,10000101111,11,212361059
location,10000100110,11,211243333
change,10000011000,11,210601244
white,10000010001,11,209863729
text,01111111001,11,208780080
small,01111110110,11,208371878
rating,01111110000,11,207858692
rate,01111101110,11,207634179
government,01111011100,11,206582673
children,01111011010,11,206538107
during,01111011000,11,206364495
usa,01111010110,11,206211773
return,01111010010,11,205629763
students,01111001000,11,204801202
shopping,01111000010,11,204104275
account,01100111110,11,203611349
times,01100111000,11,202950880
sites,01100110011,11,202755734
level,01100101001,11,202563642
digital,01100100111,11,202346767
profile,01100100100,11,201854745
previous,01100100001,11,201692678
form,01100001100,11,201395192
events,01100001011,11,201235454
love,01100001001,11,201063526
old,01011100101,11,199694226
john,01011100100,11,199642644
main,01011100011,11,199616754
call,01011100010,11,199608869
hours,01011001000,11,198242904
image,01011000101,11,197874283
department,01011000010,11,197293325
title,01010111101,11,196676017
description,01010111001,11,196301245
non,01010110111,11,196109547
insurance,01010001001,11,193271293
another,01001101100,11,192535750
why,01001100101,11,192000672
shall,01001100100,11,191963867
property,01001011111,11,191783393
class,01001011011,11,191087771
cd,01001010111,11,190859046
still,01001010011,11,190433487
money,01001001110,11,190205072
quality,00111111101,11,189509533
every,00111111010,11,189325890
listing,00111111000,11,188985252
content,00111110010,11,188880495
country,00111110000,11,188691168
private,00111101011,11,187885878
little,00111100100,11,187142519
visit,00111100011,11,187062316
save,00111000100,11,186091095
tools,00110011110,11,185555874
low,00110000111,11,184815478
reply,00110000110,11,184777992
customer,00110000011,11,184406888
december,00011111011,11,183237239
compare,00011110111,11,183202885
movies,00011101111,11,182739567
include,00011101101,11,182579275
college,00011101100,11,182545426
value,00011101000,11,182061247
article,00011100111,11,181969355
york,00011100001,11,181556155
man,00011100000,11,181445531
card,00011011111,11,181387042
jobs,00011011010,11,181075605
provide,00011010111,11,181040994
food,00011001111,11,180144029
source,00011001100,11,179963886
author,00011000110,11,179813446
different,00011000100,11,179794224
press,00011000010,11,179652730
learn,00010111110,11,179428286
sale,00010111101,11,179224570
around,00010111001,11,178810033
print,00010110011,11,178250872
course,00010110000,11,177976652
job,00010101011,11,177706929
canada,00010100111,11,177153952
process,00010100011,11,176829177
teen,00010011110,11,176301486
room,00010011101,11,176299905
stock,00010011100,11,176295589
training,00010011000,11,176129154
too,00010010111,11,176093255
credit,00010010011,11,175916536
point,00001111101,11,175527859
join,00001101111,11,174297802
science,00001101110,11,174232809
men,00001101100,11,174058407
categories,00001011111,11,173839008
advanced,00001011100,11,173422161
west,00001011011,11,173346868
sales,00001011010,11,173244220
look,00001010111,11,173043002
english,00001010000,11,172371546
left,00001001011,11,171752631
team,00001001010,11,171687825
estate,00000011101,11,169256248
box,00000011011,11,169231297
conditions,00000011000,11,168957006
select,00000010011,11,168673045
windows,00000010000,11,168532149
photos,00000000111,11,167827453
gay,00000000100,11,167587791
thread,00000000011,11,167518537
week,111111111101,12,167202060
category,111111111001,12,166811948
note,111111110101,12,166657334
live,111111101111,12,166005029
large,111111101101,12,165863763
gallery,111111101011,12,165671626
table,111111011110,12,165341452
register,111111011000,12,164834442
however,111110111100,12,163957176
june,111110111010,12,163951797
october,111110110110,12,163363054
november,111110110100,12,163308383
market,111110100111,12,162390150
library,111110100010,12,162076395
really,111110100001,12,162033390
action,111110100000,12,162023431
start,111110001110,12,161913408
series,111110001010,12,161518557
model,111110000010,12,161205740
features,111101111100,12,160961088
air,111101111001,12,160850401
industry,111101111000,12,160812623
plan,111101110111,12,160746244
human,111101110100,12,160573748
provided,111101100111,12,159785849
tv,111101100011,12,159603914
yes,111101100010,12,159595214
required,111101100000,12,159478972
second,111101010011,12,159343399
hot,111101010001,12,159287179
accessories,111101001001,12,158982297
cost,111101000111,12,158887256
movie,111101000010,12,158421100
forums,111101000001,12,158410645
march,111100111110,12,158281269
la,111100111010,12,157960401
september,111100101011,12,157182255
better,111100100111,12,157079378
say,111100100101,12,156845267
questions,111100100000,12,156703712
july,111100011101,12,156667525
yahoo,111100010100,12,155733641
going,111100001011,12,155284081
medical,111100001001,12,155254497
test,111011111001,12,154999587
friend,111011101011,12,154527125
come,111011101000,12,154326119
dec,111011100011,12,154301106
server,111011011100,12,153788544
pc,111011011000,12,153460135
study,111010111001,12,152978354
application,111010110010,12,152776595
cart,111010100100,12,152155277
staff,111010011010,12,151553180
articles,111010011000,12,151531225
san,111010010010,12,151350397
feedback,111010000110,12,151008079
again,111010000100,12,150781416
play,111010000001,12,150748333
looking,111001111011,12,150610176
issues,111001110010,12,150106274
april,111001110000,12,149976767
never,111001001010,12,149556758
users,111001000110,12,149320234
complete,111001000101,12,149312237
street,111001000011,12,149130754
topic,111001000010,12,149001702
comment,111000111010,12,148628729
financial,111000110110,12,148330257
things,111000101110,12,147969893
working,111000101000,12,147675944
against,111000100011,12,147259825
standard,110111111111,12,147177212
tax,110111111100,12,146906651
person,110111111001,12,146749448
below,110111101010,12,145701629
mobile,110111100110,12,145490029
less,110111100100,12,145430147
got,110111011110,12,145057782
blog,110111011101,12,145041426
party,110111011010,12,144707500
payment,110111011001,12,144646164
equipment,110111010001,12,144298238
login,110111001011,12,144200144
student,110110111010,12,143590165
let,110110101011,12,143062438
programs,110110100000,12,142498232
offers,110100111101,12,142087909
legal,110100111011,12,142048771
above,110100101101,12,141894620
recent,110100101011,12,141765729
park,110100101000,12,141548802
stores,110100100000,12,141210433
side,110100011110,12,141155373
act,110100011100,12,141076205
problem,110100011011,12,141012024
red,110100011000,12,140799532
give,110100010110,12,140688602
memory,110100010100,12,140479833
performance,110011110100,12,139710600
social,110011110010,12,139566375
august,110011110000,12,139459917
quote,110011101101,12,139242226
language,110011100010,12,138517992
story,110011100000,12,138433809
sell,110011010111,12,137696613
options,110011010110,12,137679195
experience,110011001001,12,137134662
rates,110011001000,12,137089538
create,110011000101,12,137071122
key,110011000011,12,136862835
body,110010111101,12,136560842
young,110010111010,12,136341684
america,110010111000,12,136214727
important,110010110100,12,136103455
field,110010011110,12,135289140
few,110010011101,12,135132664
east,110010011001,12,135037085
paper,110010011000,12,134939426
single,110010010100,12,134754203
ii,110000110110,12,133102742
age,110000110011,12,132725767
activities,110000110010,12,132685190
club,110000100111,12,132428495
example,110000100011,12,132369252
girls,110000100010,12,132325396
additional,110000100000,12,132187702
password,110000011010,12,132141721
latest,110000010101,12,131952173
something,110000010000,12,131836210
road,110000001111,12,131800620
gift,110000000110,12,131417909
question,101111111000,12,130644510
changes,101111101110,12,130570251
night,101111101101,12,130531484
ca,101111101000,12,130326009
hard,101111011111,12,130054708
texas,101111010010,12,129399241
oct,101111001110,12,129301730
pay,101111001100,12,129198530
four,101111001010,12,129167110
poker,101111001000,12,129054826
status,101111000110,12,128994593
browse,101111000100,12,128740445
issue,101110101111,12,128427156
range,101110101001,12,128314924
building,101110100011,12,128251365
seller,101110010001,12,127768853
court,101110010000,12,127719981
february,101110001101,12,127704851
always,101110001011,12,127634767
result,101110000111,12,127425045
audio,101101110111,12,127014703
light,101101110100,12,126699632
write,101101110010,12,126645151
war,101101110000,12,126517399
nov,101101011110,12,126461152
offer,101101011000,12,126228968
blue,101101010101,12,126160941
groups,101101010010,12,125814267
al,101101010000,12,125787543
easy,101101001001,12,125548527
given,101101001000,12,125542966
files,101101000011,12,125524478
event,101101000010,12,125515260
release,101100111011,12,125340846
analysis,101100101100,12,124949540
request,101100101001,12,124620318
fax,101100011110,12,124500817
china,101100011101,12,124472054
making,101100011011,12,124198695
picture,101100011001,12,124116581
needs,101100001001,12,123595776
possible,101100000100,12,123311561
might,101100000001,12,123196001
professional,101100000000,12,123162607
yet,101011111111,12,123160529
month,101011111100,12,123027963
major,101011110011,12,122592252
star,101011110000,12,122498186
areas,101011010010,12,121986327
future,101011001111,12,121844371
space,101011001000,12,121505269
committee,101011000000,12,121345834
hand,101010111011,12,121296661
sun,101010111010,12,121218500
cards,101010110011,12,121094522
problems,101010110010,12,121087620
london,101010110001,12,121079315
washington,101010101011,12,120978063
meeting,101010100111,12,120814306
rss,101010100010,12,120548796
become,101010100001,12,120495036
interest,101010011111,12,120272948
id,101010000010,12,119974321
child,101001111011,12,119747393
keep,101001110101,12,119602514
enter,101001110001,12,119394206
california,101001110000,12,119376975
porn,101001101011,12,119294962
share,101001101010,12,119294241
similar,101001100110,12,119150817
garden,101001100010,12,119014988
schools,101001100001,12,118978625
million,101001010100,12,118818608
added,101001001110,12,118410414
reference,101001001001,12,118127636
companies,101001001000,12,118106080
listed,101001000010,12,117951402
baby,101000111101,12,117696064
learning,101000111100,12,117672845
energy,101000110110,12,117451031
run,101000110000,12,117213565
delivery,101000100110,12,117119498
net,100111111110,12,116883588
popular,100111111001,12,116495721
term,100111101010,12,116282824
film,100111100100,12,116097842
stories,100111001001,12,115504667
put,100111000100,12,115205090
computers,100111000011,12,115168234
journal,100110110101,12,114532201
reports,100110110100,12,114515959
co,100110110001,12,114452742
try,100110101111,12,114384208
welcome,100110100111,12,114025350
central,100110100101,12,113841948
images,100110100100,12,113788074
president,100110011111,12,113756376
notice,100110011101,12,113691786
god,100110011100,12,113624357
original,100110001100,12,113453183
head,100110001001,12,113316224
radio,100110000001,12,113285624
until,100101111011,12,113090086
cell,100101111010,12,113067567
color,100101110111,12,112965658
self,100101110101,12,112902176
council,100101110100,12,112893718
away,100101101110,12,112837472
includes,100101100011,12,112466751
track,100101100001,12,112385243
australia,100101011110,12,112197265
discussion,100101010111,12,111973466
archive,100101010110,12,111971865
once,100101010011,12,111882023
others,100101000110,12,111397714
entertainment,100101000101,12,111394818
agreement,100101000100,12,111356320
format,100100111011,12,111279626
least,100100111010,12,111229798
society,100100111001,12,111199035
months,100100111000,12,111192257
log,100100110111,12,111170350
safety,100100110101,12,111064464
friends,100100101101,12,110732827
sure,100100101010,12,110528740
faq,100100010100,12,110323671
trade,100100001101,12,110086585
edition,100100001100,12,110051463
cars,100100000001,12,109717836
messages,100100000000,12,109697600
marketing,100011111110,12,109596213
tell,100011111010,12,109553730
further,100011111000,12,109528141
updated,100011110101,12,109504766
association,100011110100,12,109416386
able,100011110011,12,109389038
having,100011110010,12,109360096
provides,100011110000,12,109213691
david,100011101101,12,109067044
fun,100011011001,12,108389630
already,100011011000,12,108324565
green,100011010100,12,108287905
studies,100011000110,12,108024858
close,100011000100,12,107853068
common,100011000011,12,107839275
drive,100011000010,12,107799371
specific,100010111011,12,107785779
several,100010111000,12,107589584
gold,100010110100,12,107497778
feb,100010101111,12,107483376
living,100010100101,12,107215961
sep,100010100001,12,107145206
collection,100010100000,12,107121885
called,100010011010,12,106978150
short,100010010100,12,106755242
arts,100010001010,12,106466033
lot,100010001000,12,106405208
ask,100010000101,12,106400213
display,100010000100,12,106342539
limited,100001011100,12,106154969
powered,100001011011,12,106119933
solutions,100001011010,12,106103720
means,100001010110,12,105946662
director,100001010100,12,105891641
daily,100001010011,12,105837757
beach,100001001111,12,105642682
past,100001001110,12,105625616
natural,100000101001,12,105101771
whether,100000100110,12,105014961
due,100000100100,12,104908310
et,011111101111,12,104251062
electronics,011111101110,12,104230315
five,011111101011,12,104165769
upon,011111100010,12,103921220
period,011111011111,12,103906182
planning,011111011011,12,103878661
database,011111011001,12,103731642
says,011111011000,12,103697915
official,011111001001,12,103521037
weather,011110110111,12,103331913
mar,011110110011,12,103203080
land,011110101111,12,103132933
average,011110100110,12,102837602
done,011110100011,12,102812628
technical,011110100001,12,102792861
window,011110011111,12,102711715
france,011110011101,12,102698139
pro,011110010110,12,102580860
region,011110010100,12,102552342
island,011110001111,12,102316998
record,011110001011,12,102234743
direct,011110001010,12,102234090
microsoft,011110001000,12,102159580
conference,011110000011,12,101987691
environment,011110000001,12,101959294
records,011001110111,12,101771329
st,011001100011,12,101338951
district,011001100010,12,101325723
calendar,011001100000,12,101303808
costs,011001001100,12,101090970
style,011001001010,12,101024266
url,011001000111,12,100907064
front,011001000110,12,100886343
statement,011001000100,12,100868970
update,011001000000,12,100765188
parts,011000010101,12,100637505
aug,011000010001,12,100502612
ever,011000001010,12,100264634
downloads,011000001000,12,100237452
early,011000000100,12,100013194
miles,011000000011,12,100012522
sound,011000000010,12,100010833
resource,010111001110,12,99964083
present,010110011011,12,99420744
applications,010110011000,12,99324182
either,010110010010,12,99143011
ago,010110001000,12,98839705
document,010110000110,12,98703772
word,010110000011,12,98671341
works,010110000001,12,98581698
material,010110000000,12,98528318
bill,010101111110,12,98494166
apr,010101110001,12,98081439
written,010101101101,12,98056850
talk,010101001110,12,97850837
federal,010101001100,12,97837595
hosting,010101001011,12,97747750
rules,010101000111,12,97658641
final,010101000110,12,97649084
adult,010100111110,12,97583096
tickets,010100111101,12,97561755
thing,010100111011,12,97451660
centre,010100110111,12,97258243
requirements,010100110101,12,97233632
via,010100110011,12,97167128
cheap,010100110000,12,97049762
nude,010100010110,12,96733793
kids,010100010001,12,96602880
finance,010011011111,12,96554164
true,010011011010,12,96269550
minutes,010011010111,12,96242209
else,010011001101,12,96020036
mark,010010111000,12,95606752
third,010010110011,12,95489240
rock,010010110010,12,95488543
gifts,010010110000,12,95412416
europe,010010101100,12,95373445
reading,010010101001,12,95289449
topics,010010011111,12,95132338
bad,010010011110,12,95096787
individual,001111111111,12,94815082
tips,001111111101,12,94800899
plus,001111111001,12,94730251
auto,001111110111,12,94700371
cover,001111110010,12,94501729
usually,001111100110,12,94477370
edit,001111011110,12,94159529
together,001111011101,12,94113765
videos,001111011011,12,94069113
percent,001111011010,12,94036312
fast,001111010101,12,93941472
function,001111010011,12,93878887
fact,001111001111,12,93807963
unit,001111001100,12,93714361
getting,001110011111,12,93483319
global,001110011101,12,93450595
tech,001110011100,12,93401669
meet,001110010101,12,93275872
far,001110001010,12,93061804
economic,001110000110,12,93044306
en,001100111110,12,92803600
player,001100111010,12,92709785
projects,001100011011,12,92603476
lyrics,001100011010,12,92579731
often,001100011000,12,92551460
subscribe,001100010001,12,92456246
submit,001100010000,12,92431559
germany,001100000101,12,92151641
amount,001100000001,12,92039679
watch,000111111111,12,92006970
included,000111111110,12,92002729
feel,000111111100,12,91924001
though,000111111011,12,91905891
bank,000111110100,12,91559349
risk,000111101100,12,91486135
thanks,000111100110,12,91398411
everything,000111100101,12,91388083
deals,000111010110,12,91189968
various,000111010100,12,91156139
words,000111001100,12,90910143
linux,000111001000,12,90854231
jul,000111000101,12,90810423
production,000110111010,12,90612739
commercial,000110110111,12,90554932
james,000110110110,12,90535679
weight,000110101100,12,90506560
town,000110101011,12,90478880
heart,000110100111,12,90249265
advertising,000110100101,12,90210309
received,000110011100,12,90037485
choose,000110011011,12,90010174
treatment,000110011010,12,90001988
newsletter,000110000110,12,89828494
archives,000110000011,12,89826560
points,000110000010,12,89780234
knowledge,000110000000,12,89749339
magazine,000101111111,12,89744012
error,000101110100,12,89396475
camera,000101101111,12,89324930
jun,000101101011,12,89154690
girl,000101101001,12,89139125
currently,000101100100,12,89075990
construction,000101010011,12,88770071
toys,000101010001,12,88712797
registered,000101001100,12,88506935
clear,000101001010,12,88447610
golf,000101000011,12,88332962
receive,000101000010,12,88328938
domain,000100110011,12,88097391
methods,000100100100,12,87897688
chapter,000100100011,12,87882874
makes,000100100001,12,87829598
protection,000100100000,12,87824220
policies,000011111110,12,87791839
loan,000011111101,12,87785549
wide,000011101111,12,87661475
beauty,000011101101,12,87572240
manager,000011101100,12,87441704
india,000011101010,12,87391857
position,000011100000,12,87139187
taken,000011010111,12,87019836
sort,000011010101,12,86985936
listings,000010111100,12,86808185
models,000010110010,12,86573186
michael,000010110000,12,86527408
known,000010100111,12,86395556
half,000010100101,12,86290420
cases,000010100011,12,86255673
step,000010011101,12,86147277
engineering,000010011010,12,85964618
florida,000010010010,12,85775901
simple,000010001001,12,85617922
quick,000010001000,12,85584600
none,000010000001,12,85523201
wireless,000001111101,12,85333514
license,000001111100,12,85326896
paul,000001111001,12,85262640
friday,000001111000,12,85245033
lake,000001110011,12,85241485
whole,000001110001,12,85202530
annual,000001100110,12,85043687
published,000001011110,12,84923632
later,000001011011,12,84857974
basic,000001011010,12,84840226
sony,000001011001,12,84808711
shows,000001011000,12,84804638
corporate,000000111101,12,84697675
google,000000110101,12,84568679
church,000000110100,12,84556943
method,000000101001,12,84399520
purchase,000000100101,12,84333183
customers,000000100011,12,84317690
active,000000011000,12,84084764
response,000000010110,12,84065293
practice,000000010101,12,84037810
hardware,000000010011,12,84002445
figure,000000010001,12,83949754
materials,000000010000,12,83901920
fire,000000001100,12,83845349
holiday,1111111111111,13,83671730
chat,1111111111101,13,83625620
enough,1111111111001,13,83592616
designed,1111111111000,13,83559486
along,1111111110110,13,83444756
among,1111111110101,13,83431590
death,1111111100110,13,83216831
writing,1111111100101,13,83166717
speed,1111111100011,13,83135749
html,1111111100010,13,83094022
countries,1111111100001,13,83082522
loss,1111111011101,13,83015916
face,1111111011000,13,82807978
brand,1111111010101,13,82807581
discount,1111110110110,13,82646962
higher,1111110110011,13,82515596
effects,1111110100111,13,82399410
created,1111110100101,13,82342853
remember,1111110100001,13,82222044
standards,1111110100000,13,82179578
oil,1111101111111,13,82178167
bit,1111101111101,13,82113875
yellow,1111101111011,13,82024459
political,1111101111010,13,82021775
increase,1111101110111,13,81983061
advertise,1111101110011,13,81965610
kingdom,1111101110010,13,81913366
base,1111101110001,13,81894680
near,1111101101010,13,81652767
environmental,1111101100110,13,81596309
thought,1111101100101,13,81561217
stuff,1111101100001,13,81444510
french,1111101010111,13,81396759
storage,1111101010100,13,81320471
oh,1111101010010,13,81258789
japan,1111101000111,13,81110725
doing,1111100011001,13,80821946
loans,1111100011000,13,80821333
shoes,1111100010110,13,80755612
entry,1111100010010,13,80717798
stay,1111100010001,13,80694073
nature,1111100000111,13,80659036
orders,1111100000110,13,80605361
availability,1111011111110,13,80583907
africa,1111011111101,13,80566883
summary,1111011111011,13,80526622
turn,1111011101100,13,80328029
mean,1111011101011,13,80312172
growth,1111011100000,13,79998480
notes,1111011011010,13,79958318
agency,1111011011001,13,79915539
king,1111011000011,13,79791224
monday,1111010101001,13,79697206
european,1111010100101,13,79665774
activity,1111010100001,13,79633609
copy,1111010100000,13,79615682
although,1111010010110,13,79579407
drug,1111010010000,13,79424420
pics,1111010001011,13,79323162
western,1111010001001,13,79255339
income,1111010001000,13,79240506
force,1111010000110,13,79199815
cash,1111010000000,13,79172952
employment,1111001110111,13,79105156
overall,1111001110011,13,78992643
bay,1111001110010,13,78967124
river,1111001100010,13,78843808
commission,1111001100001,13,78817488
ad,1111001100000,13,78774169
package,1111001001001,13,78421168
contents,1111001001000,13,78365831
seen,1111001000011,13,78365291
players,1111000111001,13,78292986
engine,1111000110101,13,78078059
port,1111000110011,13,78051775
album,1111000101011,13,77914316
regional,1111000011011,13,77752808
stop,1111000011010,13,77749471
supplies,1111000010001,13,77574804
started,1110111110100,13,77515342
administration,1110111110001,13,77515175
bar,1110111011110,13,77375075
institute,1110111011101,13,77353032
views,1110111011100,13,77333335
plans,1110111011011,13,77295630
double,1110111011010,13,77287578
dog,1110111011000,13,77271631
build,1110111010100,13,77203075
screen,1110111010011,13,77183863
exchange,1110111000100,13,77079447
types,1110111000011,13,77070740
soon,1110111000001,13,77038135
sponsored,1110110110110,13,76855129
lines,1110110110100,13,76806341
electronic,1110110001111,13,76707502
